second,waves,kills,shots,remaining_asteroids,ship_x,ship_y,lives
0.016666666666666666,0,0,1,12,480.0,360.0,1
1.0,0,3,9,15,479.11465179532655,359.75997862723875,1
2.0,0,8,18,21,490.808609889671,325.2309479507691,1
3.0,0,13,25,27,487.9096765950363,306.01800017721195,1
4.0,0,19,33,34,529.3709038698128,306.02361128391397,1
5.0,0,25,41,39,570.7834520860445,277.29567307420314,1
6.0,0,30,48,37,580.6106967996274,252.79543646975418,1
7.0,0,38,56,47,627.4418187453268,227.10645455848703,1
8.0,0,46,64,47,663.4266427090777,210.7860176133534,1
9.0,0,53,73,43,668.025223912362,202.20494241883353,1
10.0,0,61,81,38,634.3929529892282,222.65698808888627,1
11.0,0,68,89,31,621.4280198022929,233.5758544655758,1
12.0,0,73,98,26,631.862077778639,296.4417927733923,1
13.0,0,77,105,22,631.085760810195,344.75584395923534,1
14.0,0,84,114,21,602.7743909042315,332.8324850974767,1
15.0,0,87,122,18,556.8108659893337,315.26458685512716,1
16.0,0,91,131,17,523.4577185384952,316.91432299457256,1
17.0,0,94,139,14,511.0799031992711,306.09043881490174,1
18.0,0,98,148,10,509.62114233767596,303.59041838355154,1
19.0,0,101,156,7,489.9005642653851,324.1482234315087,1
20.0,0,101,165,7,544.5693212792219,350.60558270270246,1
21.0,0,102,173,6,539.3526229744623,353.8665449198068,1
22.0,0,102,179,6,539.9337562026624,346.6697541692543,1
23.0,0,103,188,5,565.0629375285926,323.35501324554593,1
24.0,0,105,196,3,553.836501648282,330.6712310030215,1
25.0,1,109,203,13,546.7930185084277,306.1830887422016,1
26.0,1,115,212,20,540.5785586990514,323.97507409558034,1
27.0,1,125,219,28,567.687723526934,340.198616094817,1
28.0,1,133,228,32,607.1914948830666,314.1982479487723,1
29.0,1,139,234,31,611.8956078553957,312.71427508514944,1
30.0,1,145,242,34,632.5249841688499,287.25798132673754,1
31.0,1,152,250,32,630.0754830510929,256.7790602105833,1
32.0,1,164,259,31,606.06312054945,261.3635076508647,1
33.0,1,169,266,29,622.3274706458994,236.0957970397065,1
34.0,1,173,274,28,665.794828380752,242.42558153657956,1
35.0,1,175,282,32,702.6476760572327,243.20826331828516,1
36.0,1,181,290,26,677.1904196139227,249.73878797965742,1
37.0,1,185,299,22,684.234099463779,249.70691854338068,1
38.0,1,191,308,22,677.2637964133992,278.5340529734671,1
39.0,1,195,315,18,660.2771147211694,329.216217415777,1
40.0,1,199,323,14,658.3955375556878,350.0625489189729,1
41.0,1,203,332,10,632.6615237587974,335.9497415816895,1
42.0,1,207,341,6,583.5059662392904,341.1274726231232,1
43.0,1,210,347,6,574.0555643280851,342.01734063061497,1
44.0,1,210,353,6,590.4151258357325,307.44568911008207,1
45.0,1,212,360,4,554.1433979870858,255.64826985639203,1
46.0,1,214,367,2,554.2864053102085,199.90758948780086,1
47.0,1,214,376,2,555.3845118358395,183.59134821565598,1
48.0,1,215,381,1,554.1608940401226,167.92163804610985,1
49.0,1,215,388,1,578.0775689037673,132.5988548055999,1
50.0,1,215,393,1,578.7737464949109,111.00987417652144,1
51.0,1,215,399,1,558.325252293425,90.14688937883572,1
52.0,1,215,403,1,515.7888533037196,97.34497682901522,1
53.0,2,216,410,12,465.68992197326236,110.36513279144567,1
54.0,2,222,417,18,458.7790001607131,129.21542578652787,1
55.0,2,230,426,24,461.057392477902,180.87012242895386,1
56.0,2,234,434,25,458.85743076860297,208.6159179357845,1
57.0,2,243,443,27,451.70779381763407,210.34228075176466,1
58.0,2,250,451,25,461.14957104340345,238.40817323696297,1
59.0,2,255,460,31,510.2890071480735,259.96490090051964,1
60.0,2,263,468,40,538.0426246129797,273.535641599418,1
61.0,2,273,475,39,556.4647459193183,298.70691552761855,1
62.0,2,280,484,32,562.081999632418,305.57164738062477,1
63.0,2,282,492,30,584.4359697155634,305.5217568829043,1
64.0,2,288,501,27,605.3730293787098,299.64515055576817,1
65.0,2,294,507,24,577.9070365235929,263.9981194563201,1
66.0,2,302,516,19,576.5526281548664,270.98603022326546,1
67.0,2,303,520,18,568.4187763299936,292.1824988117364,1
68.0,2,306,528,15,564.6263718339944,310.2759193571762,1
69.0,2,309,536,12,522.7953981510675,279.01938797483103,1
70.0,2,311,544,13,524.1812919245621,252.69795962559832,1
71.0,2,314,553,10,529.4700109176376,246.67457357349682,1
72.0,2,317,562,7,550.8381232047421,215.68715991892302,1
73.0,2,318,570,6,496.84233833882365,213.6949853714763,1
74.0,2,319,578,5,473.8361728546906,230.16487030045874,1
75.0,2,319,586,5,419.2759180101463,182.9382313777443,1
76.0,2,321,590,3,407.2693600378988,133.60435731711124,1
77.0,2,322,598,2,387.4327073042133,78.59226065636689,1
