seed,score,steps,length,reward
0,97,4726,100,250.467999999977
1,75,3122,78,198.422666666658
2,100,5001,103,258.6579999999713
3,105,5200,108,270.0399999999748
4,102,5057,105,262.27933333330907
5,92,4147,95,240.08599999998566
6,104,5394,107,266.17866666663883
7,90,4316,93,233.3146666666501
8,82,3682,85,214.22266666665266
9,102,5362,105,259.669333333306
10,102,4970,105,263.0333333333072
11,103,4720,106,268.2799999999753
12,102,5279,105,260.3286666666394
13,102,5636,105,257.56799999997446
14,101,4975,104,260.20999999997485
15,102,5104,105,261.85199999997604
16,103,4611,106,269.2446666666408
17,103,4783,106,267.7273333333119
18,95,4323,98,247.61399999998173
19,102,4925,105,263.3633333333088
