step,score,length
1,0,3
54,1,3
102,2,4
144,3,5
158,4,6
186,5,7
255,6,8
279,7,9
284,8,10
326,9,11
384,10,12
408,11,13
411,12,14
443,13,15
496,14,16
540,15,17
571,16,18
636,17,19
660,18,20
677,19,21
689,20,22
712,21,23
760,22,24
781,23,25
799,24,26
811,25,27
828,26,28
878,27,29
907,28,30
977,29,31
1016,30,32
1047,31,33
1089,32,34
1109,33,35
1158,34,36
1225,35,37
1250,36,38
1276,37,39
1325,38,40
1342,39,41
1365,40,42
1436,41,43
1506,42,44
1550,43,45
1590,44,46
1622,45,47
1656,46,48
1681,47,49
1718,48,50
1785,49,51
1817,50,52
1880,51,53
1897,52,54
1980,53,55
2054,54,56
2093,55,57
2108,56,58
2151,57,59
2187,58,60
2216,59,61
2224,60,62
2244,61,63
2318,62,64
2372,63,65
2418,64,66
2460,65,67
2496,66,68
2575,67,69
2663,68,70
2676,69,71
2779,70,72
2799,71,73
2822,72,74
2905,73,75
2972,74,76
3019,75,77
3050,76,78
3097,77,79
3193,78,80
3251,79,81
3277,80,82
3321,81,83
3417,82,84
3444,83,85
3542,84,86
3574,85,87
3676,86,88
3751,87,89
3783,88,90
3847,89,91
3927,90,92
3971,91,93
4031,92,94
4132,93,95
4208,94,96
4264,95,97
4265,96,98
4306,97,99
4354,98,100
4445,99,101
4503,100,102
4571,101,103
4619,102,104
4692,103,105
