seed,method,digit,accuracy
11,GD,0,0.935
11,GD,1,0.965
11,GD,2,0.925
11,GD,3,0.9
11,GD,4,0.975
11,GD,5,0.83
11,GD,6,0.955
11,GD,7,0.94
11,GD,8,0.985
11,GD,9,0.905
11,EVO-random,0,0.0
11,EVO-random,1,0.0
11,EVO-random,2,0.37
11,EVO-random,3,0.35
11,EVO-random,4,0.035
11,EVO-random,5,0.155
11,EVO-random,6,0.04
11,EVO-random,7,0.19
11,EVO-random,8,0.0
11,EVO-random,9,0.005
11,GD+GD,0,0.995
11,GD+GD,1,0.98
11,GD+GD,2,0.965
11,GD+GD,3,0.915
11,GD+GD,4,0.985
11,GD+GD,5,0.965
11,GD+GD,6,0.96
11,GD+GD,7,0.935
11,GD+GD,8,0.955
11,GD+GD,9,0.92
11,GD+EVO,0,0.95
11,GD+EVO,1,0.98
11,GD+EVO,2,0.945
11,GD+EVO,3,0.925
11,GD+EVO,4,0.975
11,GD+EVO,5,0.885
11,GD+EVO,6,0.96
11,GD+EVO,7,0.925
11,GD+EVO,8,0.97
11,GD+EVO,9,0.935
29,GD,0,1.0
29,GD,1,0.995
29,GD,2,0.94
29,GD,3,0.94
29,GD,4,0.965
29,GD,5,0.945
29,GD,6,0.95
29,GD,7,0.955
29,GD,8,0.9
29,GD,9,0.915
29,EVO-random,0,0.015
29,EVO-random,1,0.09
29,EVO-random,2,0.01
29,EVO-random,3,0.185
29,EVO-random,4,0.07
29,EVO-random,5,0.065
29,EVO-random,6,0.185
29,EVO-random,7,0.42
29,EVO-random,8,0.165
29,EVO-random,9,0.085
29,GD+GD,0,0.99
29,GD+GD,1,0.995
29,GD+GD,2,0.945
29,GD+GD,3,0.975
29,GD+GD,4,0.98
29,GD+GD,5,0.935
29,GD+GD,6,0.98
29,GD+GD,7,0.975
29,GD+GD,8,0.855
29,GD+GD,9,0.865
29,GD+EVO,0,1.0
29,GD+EVO,1,0.995
29,GD+EVO,2,0.935
29,GD+EVO,3,0.925
29,GD+EVO,4,0.965
29,GD+EVO,5,0.95
29,GD+EVO,6,0.95
29,GD+EVO,7,0.945
29,GD+EVO,8,0.92
29,GD+EVO,9,0.915
47,GD,0,0.99
47,GD,1,0.965
47,GD,2,0.96
47,GD,3,0.845
47,GD,4,0.95
47,GD,5,0.945
47,GD,6,0.975
47,GD,7,0.94
47,GD,8,0.915
47,GD,9,0.92
47,EVO-random,0,0.465
47,EVO-random,1,0.195
47,EVO-random,2,0.065
47,EVO-random,3,0.045
47,EVO-random,4,0.065
47,EVO-random,5,0.0
47,EVO-random,6,0.035
47,EVO-random,7,0.185
47,EVO-random,8,0.01
47,EVO-random,9,0.01
47,GD+GD,0,0.995
47,GD+GD,1,0.955
47,GD+GD,2,0.955
47,GD+GD,3,0.9
47,GD+GD,4,0.915
47,GD+GD,5,0.975
47,GD+GD,6,0.93
47,GD+GD,7,0.925
47,GD+GD,8,0.905
47,GD+GD,9,0.94
47,GD+EVO,0,0.99
47,GD+EVO,1,0.975
47,GD+EVO,2,0.945
47,GD+EVO,3,0.895
47,GD+EVO,4,0.95
47,GD+EVO,5,0.925
47,GD+EVO,6,0.97
47,GD+EVO,7,0.945
47,GD+EVO,8,0.92
47,GD+EVO,9,0.925
