seed,method,noise_std,accuracy
11,GD,0.0,0.9315
11,GD,0.15,0.8425
11,GD,0.3,0.5825
11,EVO-random,0.0,0.1145
11,EVO-random,0.15,0.1125
11,EVO-random,0.3,0.099
11,GD+GD,0.0,0.9575
11,GD+GD,0.15,0.9105
11,GD+GD,0.3,0.665
11,GD+EVO,0.0,0.945
11,GD+EVO,0.15,0.8885
11,GD+EVO,0.3,0.642
29,GD,0.0,0.9505
29,GD,0.15,0.899
29,GD,0.3,0.549
29,EVO-random,0.0,0.129
29,EVO-random,0.15,0.1065
29,EVO-random,0.3,0.112
29,GD+GD,0.0,0.9495
29,GD+GD,0.15,0.903
29,GD+GD,0.3,0.659
29,GD+EVO,0.0,0.95
29,GD+EVO,0.15,0.9135
29,GD+EVO,0.3,0.572
47,GD,0.0,0.9405
47,GD,0.15,0.906
47,GD,0.3,0.6495
47,EVO-random,0.0,0.1075
47,EVO-random,0.15,0.1285
47,EVO-random,0.3,0.1545
47,GD+GD,0.0,0.9395
47,GD+GD,0.15,0.917
47,GD+GD,0.3,0.691
47,GD+EVO,0.0,0.944
47,GD+EVO,0.15,0.923
47,GD+EVO,0.3,0.7055
