seed,method,step,progress,loss,validation_accuracy,elapsed
11,GD,1,0.3333333333333333,0.781994518525394,0.878,1.7599364169873297
11,GD,2,0.6666666666666666,0.26611202197225997,0.931,3.5743474590126425
11,GD,3,1.0,0.15334005016849256,0.944,5.380872291978449
11,EVO-random,1,0.125,2.470994753223425,0.103,0.6299382920842618
11,EVO-random,2,0.25,2.4554490583167734,0.104,1.277809999883175
11,EVO-random,3,0.375,2.442446555450418,0.149,1.910121708875522
11,EVO-random,4,0.5,2.4278721356586503,0.122,2.5339480000548065
11,EVO-random,5,0.625,2.4278721356586503,0.122,3.14932033396326
11,EVO-random,6,0.75,2.424865861117028,0.129,3.7887187090236694
11,EVO-random,7,0.875,2.424865861117028,0.129,4.490092667052522
11,EVO-random,8,1.0,2.3958989468127947,0.108,5.195132708875462
11,GD+GD,1,1.0,0.13953119058426325,0.951,2.092615250032395
11,GD+EVO,1,0.125,0.1175852373048323,0.945,1.0048054999206215
11,GD+EVO,2,0.25,0.11074386593119233,0.944,1.6872598330955952
11,GD+EVO,3,0.375,0.10805420308997996,0.944,2.358902083011344
11,GD+EVO,4,0.5,0.1035491957084039,0.945,3.043908040970564
11,GD+EVO,5,0.625,0.10054240880953978,0.943,3.7070697909221053
11,GD+EVO,6,0.75,0.09803539494498224,0.944,4.715532625094056
11,GD+EVO,7,0.875,0.09463706471018676,0.949,5.418625332880765
11,GD+EVO,8,1.0,0.09337424729770477,0.947,6.112426666077226
29,GD,1,0.3333333333333333,0.8356244437589341,0.911,1.7640411669854075
29,GD,2,0.6666666666666666,0.23998084495377692,0.938,3.520701332949102
29,GD,3,1.0,0.15057974520443806,0.954,5.385800041956827
29,EVO-random,1,0.125,2.5148593127032175,0.158,0.6260542089585215
29,EVO-random,2,0.25,2.5049008521356093,0.144,1.2550078339409083
29,EVO-random,3,0.375,2.4492050940211105,0.138,1.8774286250118166
29,EVO-random,4,0.5,2.439428589764126,0.13,2.497662541922182
29,EVO-random,5,0.625,2.3965726265373917,0.121,3.1403634171001613
29,EVO-random,6,0.75,2.3711490478699515,0.105,3.7892866251058877
29,EVO-random,7,0.875,2.3548487707354084,0.101,4.425981542095542
29,EVO-random,8,1.0,2.335222082790864,0.119,5.144467917038128
29,GD+GD,1,1.0,0.1361697543286092,0.944,1.9845114999916404
29,GD+EVO,1,0.125,0.10310914355463204,0.956,0.6432582919951528
29,GD+EVO,2,0.25,0.10310914355463204,0.956,1.2621028339490294
29,GD+EVO,3,0.375,0.10159095434808163,0.957,1.8905771251302212
29,GD+EVO,4,0.5,0.09985076446780689,0.957,2.4892798750661314
29,GD+EVO,5,0.625,0.0998097710985486,0.956,3.0793258340563625
29,GD+EVO,6,0.75,0.09805175357281919,0.954,3.7068512090481818
29,GD+EVO,7,0.875,0.09680716987595489,0.953,4.306388417026028
29,GD+EVO,8,1.0,0.09680716987595489,0.953,4.914797208970413
47,GD,1,0.3333333333333333,0.8895645248941206,0.906,1.9974040831439197
47,GD,2,0.6666666666666666,0.2532682429798653,0.906,3.9004182079806924
47,GD,3,1.0,0.1649481406636763,0.941,6.015334333060309
47,EVO-random,1,0.125,2.8837375417972226,0.162,0.6154234169516712
47,EVO-random,2,0.25,2.8837375417972226,0.162,1.2343956669792533
47,EVO-random,3,0.375,2.871094360408601,0.174,1.8616024579387158
47,EVO-random,4,0.5,2.7743402493555913,0.146,2.5052524579223245
47,EVO-random,5,0.625,2.7205378126989515,0.164,3.129786500008777
47,EVO-random,6,0.75,2.7082726468028455,0.155,3.7702560829930007
47,EVO-random,7,0.875,2.5819337363632826,0.138,4.409862499916926
47,EVO-random,8,1.0,2.567873359015508,0.102,5.060593416914344
47,GD+GD,1,1.0,0.14261583963050123,0.95,1.808780041988939
47,GD+EVO,1,0.125,0.0866177782017338,0.939,0.6443481249734759
47,GD+EVO,2,0.25,0.08494746273396127,0.938,1.2945603751577437
47,GD+EVO,3,0.375,0.08271579154062483,0.937,1.911997792078182
47,GD+EVO,4,0.5,0.08100789719824317,0.941,2.6791516670491546
47,GD+EVO,5,0.625,0.077973369957751,0.943,3.314498209161684
47,GD+EVO,6,0.75,0.07604072159049506,0.942,3.927455084165558
47,GD+EVO,7,0.875,0.07604072159049506,0.942,4.5659942091442645
47,GD+EVO,8,1.0,0.0739049422162059,0.942,5.182831417070702
