scenario,variant,replicate,method,target_function,noise_std,depth,width,parameter_count,objective,train_mse,clean_mse,test_mse,violation_rate,training_time_s,objective_evaluations,acceptance_rate
baseline,sin_pi,0,GD,sin_pi,0.0,1,40,121,0.001985642889293645,0.001985642889293645,0.001985642889293645,0.001918349226667956,0.305,0.17020783387124538,2000.0,
baseline,sin_pi,0,MC,sin_pi,0.0,1,40,121,0.006085497421260713,0.006085497421260713,0.006085497421260713,0.005834974089100993,0.6155,0.10996192898601294,2000.0,0.09125
baseline,sin_pi,1,GD,sin_pi,0.0,1,40,121,0.003205947713362968,0.003205947713362968,0.003205947713362968,0.00307562636984101,0.46,0.17815683293156326,2000.0,
baseline,sin_pi,1,MC,sin_pi,0.0,1,40,121,0.00563622697560308,0.00563622697560308,0.00563622697560308,0.005388717553792619,0.6255,0.11447039593476802,2000.0,0.0898
baseline,sin_pi,2,GD,sin_pi,0.0,1,40,121,0.003250562411522329,0.003250562411522329,0.003250562411522329,0.0031197891539250025,0.46,0.1827902088407427,2000.0,
baseline,sin_pi,2,MC,sin_pi,0.0,1,40,121,0.006749741663353223,0.006749741663353223,0.006749741663353223,0.00643258116728902,0.665,0.11013385837431997,2000.0,0.08625
baseline,sin_pi,3,GD,sin_pi,0.0,1,40,121,0.002089820326320823,0.002089820326320823,0.002089820326320823,0.002016492345207932,0.315,0.1770123338792473,2000.0,
baseline,sin_pi,3,MC,sin_pi,0.0,1,40,121,0.004902945306418432,0.004902945306418432,0.004902945306418432,0.0047172534463528395,0.586,0.1147667377255857,2000.0,0.08425
baseline,sin_pi,4,GD,sin_pi,0.0,1,40,121,0.0032569319978717646,0.0032569319978717646,0.0032569319978717646,0.003125755777245492,0.465,0.17913400009274483,2000.0,
baseline,sin_pi,4,MC,sin_pi,0.0,1,40,121,0.005185300655070382,0.005185300655070382,0.005185300655070382,0.004911755597755485,0.5,0.12168181247543544,2000.0,0.09285
baseline,sin_pi,5,GD,sin_pi,0.0,1,40,121,0.0021474248401241003,0.0021474248401241003,0.0021474248401241003,0.0020720150909376124,0.32,0.17837720806710422,2000.0,
baseline,sin_pi,5,MC,sin_pi,0.0,1,40,121,0.00469453700233013,0.00469453700233013,0.00469453700233013,0.0044730764989256554,0.53,0.12024969581980258,2000.0,0.0922
baseline,sin_pi,6,GD,sin_pi,0.0,1,40,121,0.002305827396378898,0.002305827396378898,0.002305827396378898,0.0022216162757435092,0.365,0.18833541707135737,2000.0,
baseline,sin_pi,6,MC,sin_pi,0.0,1,40,121,0.006486293706672887,0.006486293706672887,0.006486293706672887,0.006178831752640668,0.6405000000000001,0.12461324161849915,2000.0,0.09090000000000001
baseline,sin_pi,7,GD,sin_pi,0.0,1,40,121,0.00245302075248255,0.00245302075248255,0.00245302075248255,0.002361381777431905,0.39,0.20519295893609524,2000.0,
baseline,sin_pi,7,MC,sin_pi,0.0,1,40,121,0.004804605154365804,0.004804605154365804,0.004804605154365804,0.00456693266395862,0.5215,0.1264633249491453,2000.0,0.0849
baseline,sin_pi,8,GD,sin_pi,0.0,1,40,121,0.002255075215898509,0.002255075215898509,0.002255075215898509,0.002174780301912544,0.34,0.18314054096117616,2000.0,
baseline,sin_pi,8,MC,sin_pi,0.0,1,40,121,0.0057512114628927,0.0057512114628927,0.0057512114628927,0.005505575415147217,0.623,0.11864031662698835,2000.0,0.08895
baseline,sin_pi,9,GD,sin_pi,0.0,1,40,121,0.0032750829878609735,0.0032750829878609735,0.0032750829878609735,0.003141654442043506,0.465,0.17905658297240734,2000.0,
baseline,sin_pi,9,MC,sin_pi,0.0,1,40,121,0.006535546689365438,0.006535546689365438,0.006535546689365438,0.006201922905902143,0.627,0.1247610169230029,2000.0,0.08985
