run_id,scenario,variant,method,replicate,data_seed,init_seed,optimizer_seed,experiment_type,target_function,noise_std,depth,width,parameter_count,alpha,mutation_sigma,epochs,objective_evaluations,forward_passes,backward_passes,accepted_mutations,acceptance_rate,objective,train_mse,clean_mse,test_mse,violation_rate,training_time_s,status
baseline-sin_pi-r00-gd,baseline,sin_pi,GD,0,10000,20000,20000,curve,sin_pi,0.0,1,40,121,0.01,0.025066282746310002,2000,2000,2000,2000,,,0.001985642889293645,0.001985642889293645,0.001985642889293645,0.001918349226667956,0.305,0.17020783387124538,ok
baseline-sin_pi-r00-mc00,baseline,sin_pi,MC,0,10000,20000,1000000,curve,sin_pi,0.0,1,40,121,0.01,0.025066282746310002,2000,2000,2000,0,198.0,0.099,0.004824279001847687,0.004824279001847687,0.004824279001847687,0.004559480087349664,0.555,0.1057539579924196,ok
baseline-sin_pi-r00-mc01,baseline,sin_pi,MC,0,10000,20000,1000001,curve,sin_pi,0.0,1,40,121,0.01,0.025066282746310002,2000,2000,2000,0,167.0,0.0835,0.009431927808152824,0.009431927808152824,0.009431927808152824,0.009000443939765335,0.74,0.10525575000792742,ok
baseline-sin_pi-r00-mc02,baseline,sin_pi,MC,0,10000,20000,1000002,curve,sin_pi,0.0,1,40,121,0.01,0.025066282746310002,2000,2000,2000,0,183.0,0.0915,0.00404016132635581,0.00404016132635581,0.00404016132635581,0.0038647707673374727,0.595,0.10916158300824463,ok
baseline-sin_pi-r00-mc03,baseline,sin_pi,MC,0,10000,20000,1000003,curve,sin_pi,0.0,1,40,121,0.01,0.025066282746310002,2000,2000,2000,0,178.0,0.089,0.0025764828643082285,0.0025764828643082285,0.0025764828643082285,0.0025062468091390545,0.465,0.10803154087625444,ok
baseline-sin_pi-r00-mc04,baseline,sin_pi,MC,0,10000,20000,1000004,curve,sin_pi,0.0,1,40,121,0.01,0.025066282746310002,2000,2000,2000,0,174.0,0.087,0.005847548963348853,0.005847548963348853,0.005847548963348853,0.005569363478539061,0.65,0.10801745788194239,ok
baseline-sin_pi-r00-mc05,baseline,sin_pi,MC,0,10000,20000,1000005,curve,sin_pi,0.0,1,40,121,0.01,0.025066282746310002,2000,2000,2000,0,188.0,0.094,0.00693075620721602,0.00693075620721602,0.00693075620721602,0.006631817742426305,0.68,0.10907062492333353,ok
baseline-sin_pi-r00-mc06,baseline,sin_pi,MC,0,10000,20000,1000006,curve,sin_pi,0.0,1,40,121,0.01,0.025066282746310002,2000,2000,2000,0,176.0,0.088,0.005763225275660522,0.005763225275660522,0.005763225275660522,0.005593931512141341,0.67,0.11237508314661682,ok
baseline-sin_pi-r00-mc07,baseline,sin_pi,MC,0,10000,20000,1000007,curve,sin_pi,0.0,1,40,121,0.01,0.025066282746310002,2000,2000,2000,0,198.0,0.099,0.003109078524850083,0.003109078524850083,0.003109078524850083,0.002949012416629979,0.345,0.11335625010542572,ok
baseline-sin_pi-r00-mc08,baseline,sin_pi,MC,0,10000,20000,1000008,curve,sin_pi,0.0,1,40,121,0.01,0.025066282746310002,2000,2000,2000,0,186.0,0.093,0.007026516922735242,0.007026516922735242,0.007026516922735242,0.0067831649983997174,0.695,0.11292683286592364,ok
