scenario,variant,method,n,test_mse_mean,test_mse_std,objective_mean,violation_rate_mean,training_time_mean_s
baseline,sin_pi,GD,20,0.0024868848633140843,0.0005331279071877684,0.0025850908052592802,0.3855,0.19508039167849348
baseline,sin_pi,MC,20,0.0054092388088646404,0.0007403042206339097,0.005670435497269144,0.59675,0.12372207020642237
function,bowl,GD,12,0.0013781348871971227,0.0002262741154167639,0.0017080868100194022,0.22546666666666668,0.4501221910662328
function,bowl,MC,12,0.004375042942106524,0.00115466907476087,0.0057832829051257875,0.43309333333333333,0.26187996664472546
function,gaussian_bump,GD,12,0.0006514935349684305,0.0003433906754723926,0.0006616413648092607,0.029583333333333333,0.2005578540653611
function,gaussian_bump,MC,12,0.018380395604578707,0.004357276362607291,0.01857846755095072,0.7170000000000001,0.12849900570775694
function,mixed_surface,GD,12,0.09899870561614267,0.01284668984735839,0.10660587977804709,0.8858666666666667,0.4610015102662146
function,mixed_surface,MC,12,0.1643457684357053,0.0015094439604512063,0.16348745214997884,0.9033866666666667,0.2652958805517604
function,sin_pi,GD,12,0.00253929972794675,0.0005063695022984046,0.0026400466399733712,0.39083333333333337,0.19598202428702885
function,sin_pi,MC,12,0.005872298079670834,0.0009264972241962166,0.006164868222603473,0.615,0.130736553374057
function,wave_trend,GD,12,0.027686950228103524,0.0017541555613649084,0.029411447598866217,0.83875,0.18714243072705963
function,wave_trend,MC,12,0.09560789839786205,0.009984500982117447,0.09974775987809335,0.9207500000000001,0.124726627751564
model,baseline,GD,12,0.00253929972794675,0.0005063695022984046,0.0026400466399733712,0.39083333333333337,0.2178423645479294
model,baseline,MC,12,0.005872298079670834,0.0009264972241962166,0.006164868222603473,0.615,0.14194436526158824
model,large,GD,12,0.002672182958543648,0.0006424476422226425,0.0027754825494016515,0.40125000000000005,0.3973281108192168
model,large,MC,12,0.009027655270494268,0.0010585224907138462,0.009502777759235604,0.6807500000000001,0.2568407041563963
model,small,GD,12,0.00409095364999791,0.0005234807492543612,0.004290524419676832,0.5495833333333333,0.10061764233978465
model,small,MC,12,0.007657226343069409,0.0010486820589298623,0.008049771689763764,0.6906666666666667,0.056598036712966864
noise,0.00,GD,12,0.00253929972794675,0.0005063695022984046,0.0026400466399733712,0.39083333333333337,0.21069606607003757
noise,0.00,MC,12,0.005872298079670834,0.0009264972241962166,0.006164868222603473,0.615,0.13543780980398878
noise,0.10,GD,12,0.0026490304685094935,0.0006302003063027344,0.01205409425069099,0.6666666666666666,0.20425599650479853
noise,0.10,MC,12,0.005847728153437284,0.0011250678294628868,0.015354031026180498,0.6970833333333334,0.1302422534286355
noise,0.25,GD,12,0.0037946474420635476,0.0009363434729520462,0.061714213572706324,0.8508333333333332,0.21154276058465862
noise,0.25,MC,12,0.007058360979754656,0.001247848108848816,0.0652679794972554,0.8550833333333333,0.1373638666390131
objective,threshold,GD-MSE,12,0.0022752466092517756,0.00048605830944002367,0.062497523649827386,0.4008333333333334,0.08139057288644835
objective,threshold,GD-surrogate,12,0.004470705193829031,0.0014507414897176399,0.03320357398929353,0.18875,0.09001236808641504
objective,threshold,MC,12,0.004226691854221213,0.0009958920227692875,0.058413037285690306,0.3595,0.05196660002693534
